nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;;destacada;expedientenumero
instituto superior de arte teatro colon;Recision;arquitectura;subsecretaria de proyectos y obras;relocalizacion del instituto superior de arte del teatro colon refuncionalizando 3 niveles de los subsuelos de deposito bajo plaza vaticano incorporacion de acceso en planta baja con nuevo nucleo de ascensores;847844500;1;san nicolas;cerrito 628;-35∞ -26' 59,57'';-59∞ -37' 38,14'';4/1/2023;30/4/2024;13;66;cunumi sa;2022;licitacion publica;101790137lpu22;30615748036;comunidad educativa;10;2,02E+16;;
readecuacion parque olimpico;Neutralizada;espacio publico;secretaria de transporte y obras publicas;la obra consiste en la construccion de tres nuevos edificios que se emplazaran en el parque ola≠≠mpico con la intencian de mudar al cenard a la zona sur habra oficinas una residencia y un centro de ciencias aplicadas al deporte una escuela oficina antidoping una cancha murcialago y se readecuaran 4 pabellones;903283412;8;villa lugano;escalada av;-35∞ -21' 34,09'';-59∞ -33' 23,29'';15/3/2019;13/7/2020;13;11;sudamericana sa;2018;licitacion publica;650sigaf2018;30610895456;vecinos;10;46213850;;
soluciones habitacionales 3b;En Ejecucion;arquitectura;ministerio de desarrollo humano y habitat;construccion de edificio de soluciones habitacionales desarrollado en pb mas 4 pisos en calle mendoza 4246 contara con 27 viviendas de 4 ambientes y 18 de 3 ambientes (total 45 unidad mas 2 locales comerciales);73924865228;12;villa urquiza;mendoza 4246;-35∞ -25' 39,08'';-59∞ -36' 43,46'';26/9/2022;26/9/2023;12;100;amg obras civiles sa;2022;licitacion publica;101720046lp22;30519962884;vecinos;10;2,02E+11;SI;914412-MDUGC-2013
ruy diaz de guzman;En Ejecucion;salud;ministerio de salud;nueva casa de medio caminio ruy diaz de guzman;432863370;4;barracas;ruy diaz de guzman 171/173;0∞ 0' 0,00'';0∞ 0' 0,00'';17/7/2023;10/7/2024;12;100;cunumi sa;2023;licitacion publica;4010006lpu23;30615748036;vecinos;10;46213850;;
teatro colan reparacion de arco de embocadura;Finalizada;arquitectura;secretaria de transporte y obras publicas;se realiza la reparacion y puesta en valor del arco de embocadura del teatro colan;756353;1;san nicolas;cerrito 628;-35∞ -24' 3,79'';-59∞ -38' 56,79'';15/1/2015;1/1/2016;12;100;rol ingenieria sa;2015;556/2010;1816/sigaf/2014;30578447659;vecinos;10;46213850;SI;
teatro colan talleres la nube;Finalizada;arquitectura;secretaria de transporte y obras publicas;se lleva a cabo la limpieza y reparacion de la cubierta canaletas rejillas desaga≠ºes pluviales y los trabajos de albaailera≠≠a complementarios en los talleres la nube i y la colocacion de aislacian tarmica en la cubierta de los talleres la nube ii;4926076;15;chacarita;maure 3670;-35∞ -22' 34,04'';-59∞ -39' 28,51'';15/2/2017;15/2/2018;12;100;cahem sa;2016;licitacion privada de obra menor;83sigaf2016;30708075910;10223;48;46213850;;26345276--MGEYA-2016
corralan de floresta nueva plaza;Finalizada;espacio publico;subsecretaria de gestian comunal;el objetivo general del proyecto fue recuperar la mayor superficie verde posible en virtud de la generacian de una nueva plaza para el barrio a su vez el predio fue utilizado durante muchos aaos por distintas agrupaciones culturales que realizaban diversos talleres huertas comunitarias y eventos donde participaban personas de todas las edades pertenecientes al barrio como tambian de distintos puntos de la ciudad mediante la convocatoria por las redes sociales teniendo en cuenta los antecedentes del lugar el proyecto se propuso involucrar las distintas actividades y usos ya sean culturales sociales deportivos y/o recreativos haciendo uso de algunas de las construcciones existentes que tienen valor histarico y conmemorativo para la comunidad potenciando el sentido de pertenencia y simbalico del predio fomentando a su vez la integracian sociocultural de los vecinos;53999667;10;floresta;gaona av y gualeguaychu;-35∞ -24' 52,74'';-59∞ -35' 12,76'';14/12/2017;14/12/2018;12;100;eduardo caramian sacicif y a;2017;licitacion publica;1227secdessecdes2017;30517653183;120000;10;2,47E+11;;
acumar valparaaso  viviendas;Finalizada;vivienda;instituto de la vivienda;obra valparaa≠≠so 3570 y veracruz 3459  48 viviendas  pb + 2 pisos;41510103;8;villa soldati;valparaiso 3570;-35∞ -21' 21,27'';-59∞ -37' 40,94'';1/1/2018;31/5/2019;12;100;ajimez;2003;licitacion publica;lp 10/03 y 11/03;30612196962;192;32;46213850;;
barrio papa francisco infraestructura 2;Finalizada;hidraulica e infraestructura;instituto de la vivienda;barrio papa francisco etapa 4 infraestructura avda escalada y avda fernandez de la cruz barrio villa lugano comuna 8;143231737;8;villa lugano;escalada av y fernandez de la cruz f gral av;-35∞ -26' 41,95'';-59∞ -36' 53,36'';24/11/2017;30/11/2018;12;100;conorvial sa;2017;licitacion publica;lp 03/17;33504596309;2958;60;46213850;;
hospital maraa ferrer  instalacion de sistema de climatizacian fraocalor con filtrado especial  2 parte;Finalizada;salud;ministerio de salud;la obra consistia en la puesta en valor de la totalidad edificada de la terapia intermedia tareas de obra civil termomecanica electricidad y sanitarias;8250000;4;barracas;finochietto enrique dr 849;-35∞ -25' 40,28'';-59∞ -36' 38,63'';29/12/2016;29/12/2017;12;100;mejores hospitales sa;2014;decreto  433/16;4767/2016;30647354072;vecinos;4;46213850;;2886953-2886953-MGEYA-2013
sede comunal 10 modificacian layout;Finalizada;arquitectura;subsecretaria de gestian comunal;los sectores que se intervinieron se encuentran ubicados en el 1 piso 2 piso 3 piso y terraza de la sede comunal  10 ubicada sobre la calle bacacay 3968 el objetivo de la propuesta fue generar espacios de trabajos fluidos para el personal que trabaja en la sede privacidad de las areas que asa≠≠ lo requieran y la puesta en valor del 3 piso debido a las filtraciones de agua provenientes de la terraza la reorganizacian del espacio permitia un maximo aprovechamiento del mismo utilizando zonas que se encontraban en desuso estas remodelaciones apuntaron a la unificacian de anteriores reformas que buscaban dar una identidad mas homoganea y unificada de la comuna;1477190;10;monte castro;baigorria y hugo victor;-35∞ -22' 20,69'';-59∞ -37' 3,57'';12/1/2016;30/1/2017;12;100;prisma constructora srl;2016;licitacion publica;1816/sigaf/2014;30714290173;175000;10;46213850;;
acumar alvarado  infraestructura;Finalizada;hidraulica e infraestructura;instituto de la vivienda;ejecucion de la infraestructura correspondiente a las 231 viviendas en construccion del barrio alvarado ubicado en las calles australia va≠≠as ffcc agusta≠≠n magaldi y alvarado circunscripcian 2 seccian 26 manzana 37 b barracas;32952446;4;barracas;alvarado;-35∞ -21' 21,58'';-59∞ -33' 2,51'';18/7/2018;31/3/2020;12;100;construcciones infraestructura y servicios sa;2017;licitacion publica;lpub75ivc2017;30710393881;785;50;1,79E+11;;
centro cultural recoleta equipamiento;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;se lleva a cabo la puesta en valor del centro cultural recoleta a travas de la incorporacian de equipamiento y vegetacian en los patios y la terraza promoviendo el uso de estos sectores la intervencion contempla incorporacian de macetas con vegetacian mesas y sillas bancos estructuras maviles tipo andamio y cubierta mavil en los patios y terraza la readecuacion y el revestimiento en madera de canteros existentes en el patio de los tilos patio de la fuente y el patio de las palmeras iluminacion de la fachada de la capilla demarcacian de un sector de piso con pintura e instalacion de un jarda≠≠n vertical en la terraza;3329526;2;recoleta;junin 1930;-35∞ -23' 55,69'';-59∞ -39' 44,90'';12/1/2016;4/1/2017;12;100;desarrolladora los tilos sa;2016;licitacion publica;1816/sigaf/2014;30710622848;vecinos;10;46213850;;
plan once etapa iv;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;el proyecto propuso una serie de intervenciones en las esquinas y veredas que permiten la apropiacian del espacio publico por parte de los peatones y el ordenamiento en el uso de las darsenas para estacionamiento carga y descarga e higiene urbana a su vez se trabaja en el mejoramiento del paisaje se soterra el cableado aareo se redujo al ma≠≠nimo la cantidad de postes y se intensifica el arbolado y la iluminacion peatonal en las calles internas se generaron bulbos de vereda cercanos a las esquinas y se construyeron vados dobles de hormigon peinado se incorporaron contenedores semi soterrados y se pinta la calzada en la ampliacion generada por los bulbos en las aceras intervenidas se colocaron mosaicos grana≠≠ticos de color gris claro y a su vez se construyeron cazoletas y se plantaron arboles nuevos;55846273;3;balvanera;peron juan domingo tte general y paso;-35∞ -19' 52,81'';-59∞ -32' 11,37'';11/1/2017;8/1/2018;12;100;cunumi sa;2017;licitacion publica;1276/sigaf/17;30615748036;vecinos;10;1565520817;;
plan once etapa v;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;el proyecto propuso una serie de intervenciones en las esquinas y veredas que permiten la apropiacian del espacio publico por parte de los peatones y el ordenamiento en el uso de las darsenas para estacionamiento carga y descarga e higiene urbana a su vez se trabaja en el mejoramiento del paisaje se soterra el cableado aareo se redujo al ma≠≠nimo la cantidad de postes y se intensifica el arbolado y la iluminacion peatonal en las calles internas se generaron bulbos de vereda cercanos a las esquinas y se construyeron vados dobles de hormigon peinado se incorporaron contenedores semi soterrados y se pinta la calzada en la ampliacion generada por los bulbos en las aceras intervenidas se colocaron mosaicos grana≠≠ticos de color gris claro y a su vez se construyeron cazoletas y se plantaron arboles nuevos;68513864;3;balvanera;azcuenaga y peron juan domingo tte general;-35∞ -22' 16,03'';-59∞ -36' 26,56'';11/1/2017;8/1/2018;12;100;da fra obras civiles sa;2017;licitacion publica;1249/sigaf/2017;30711388768;vecinos;10;1,57E+11;;
ejes comerciales castelli y v gomez nivelacian;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;obra en el marco del plan integral para el area de once tanto en castelli como en valenta≠≠n gomez se propuso la nivelacian de la acera y la calzada se intensifica el arbolado y la iluminacion peatonal para incentivar el uso goce y transito seguro del espacio urbano resaltando el caracter patrimonial y cultural de la zona la propuesta busca poner en valor este sector de la ciudad beneficiando tanto a los residentes como a las personas que desarrollan su actividad cotidiana comercial cultural y comunitaria generandose para ellas un lugar mas amigable y atractivo;32309801;3;balvanera;castelli y gomez valentin;-35∞ -24' 11,37'';-59∞ -35' 16,22'';10/1/2017;3/1/2018;12;100;miavasa sa;2017;licitacion publica;1174/sigaf/2017;30677303863;vecinos;10;1,17E+11;;
estacion once de septiembre puesta en valor de fachada;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;el objetivo de la restauracion fue devolver su estado original al sector intervenido correspondiente al acceso situado sobre la fachada en la av pueyrredan incluyendo para ello la variedad de ornamentaciones molduras aberturas y pilastras como asa≠≠ tambian la superficie muraria y todo aquel elemento arquitectanico de valor patrimonial que estaba afectado y/o a restaurar recuperando su forma textura color y disenio esto incluya la remocian de reparaciones anteriores o la realizacian de duplicaciones de piezas irrecuperables o faltantes del original;3328004;3;balvanera;mitre bartolome y pueyrredon av;-35∞ -24' 32,92'';-59∞ -38' 57,09'';10/1/2017;1/1/2018;12;100;hit construcciones sa;2017;licitacion privada;38/sigaf/2017;30709605158;vecinos;10;1,19E+11;;
recova de once puesta en valor de fachadas;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;en el marco del plan para la puesta en valor del area ambiental once se busca volver al estado original a las fachadas de edificios de valor patrimonial situados sobre el eje de la av pueyrredan se propusieron intervenciones en la recova y en un sector de la fachada de la estacion de ferrocarril incluyendo para ello la variedad de ornamentaciones molduras aberturas y pilastras como asa≠≠ tambian la superficie muraria y todo aquel elemento arquitectanico de valor patrimonial que estuviese afectado y/o a restaurar recuperando su forma textura color y disenio esto incluya la remocian de reparaciones anteriores o la realizacian de duplicaciones de piezas irrecuperables o faltantes del original;4000765;3;balvanera;mitre bartolome y pueyrredon av;-35∞ -24' 51,09'';-59∞ -29' 29,65'';11/1/2017;3/1/2018;12;100;cahem sa;2017;licitacion privada;1816/sigaf/2014;30708075910;vecinos;10;46213850;SI;26.488.698/DGRU/2016
barrio 20 cancha de los huarfanos;Finalizada;espacio publico;ministerio de desarrollo humano y habitat;se implementa la puesta en valor a travas de la construccion de una cancha de fatbol 9 el reacondicionamiento de la plaza con equipamiento juegos para ninios y ninias y estaciones saludables;10786799;8;villa lugano;miralla y batlle y ordoaez jose pt;-35∞ -28' 36,88'';-59∞ -32' 23,25'';23/3/2017;23/3/2018;12;100;vivia sa;2016;licitacion publica;1816/sigaf/2014;30709911828;5778;13;46213850;;
barrio 21 24 plaza seca;Finalizada;espacio publico;ministerio de desarrollo humano y habitat;se realiza la puesta en valor del espacio publico existente se lleva a cabo el mejoramiento y cierre de la cancha existente para la construccion de un espacio de skate ademas la definician del cordan perimetral para la futura obra de transito;2984325;4;barracas;iriarte gral av e iguazu;-35∞ -19' 6,95'';-59∞ -33' 49,69'';12/8/2017;15/8/2018;12;100;cooperativa;2017;licitacion publica;1816/sigaf/2014;30505454436;9213;42;46213850;;
esc primaria 21 de 5;Finalizada;escuelas;ministerio de educacion;primaria;348604730;4;nueva pompeya;andras ferreyra 3749;-35∞ -24' 8,26'';-59∞ -31' 28,92'';27/3/2018;28/2/2022;12;100;ingecons;2018;licitacion publica;1816/sigaf/2014;30505454436;vecinos;10;46213850;;
esc primaria coman  09 benito juarez obras generales;Finalizada;escuelas;ministerio de educacion;obra de reparaciones generales;2736733;11;villa devoto;juarez benito 2702;-35∞ -25' 58,16'';-59∞ -38' 31,90'';3/10/2016;8/10/2017;12;100;spinelli & asociados srl;2016;licitacion publica;1816/sigaf/2014;30709411876;vecinos;15;46213850;;
esc primaria coman  08 luis federico leloir obras generales;Finalizada;escuelas;ministerio de educacion;obra de adecuacion a normativa instalacion electrica ejecucion de cubierta e impermeabilizacion;7244094;8;villa soldati;rabanal francisco intendente av 2275;-35∞ -24' 11,03'';-59∞ -37' 21,15'';2/1/2017;31/1/2018;12;100;bonaldi srl;2017;licitacion publica;1816/sigaf/2014;30707443614;vecinos;10;46213850;;
nuevo parque elcano;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;espacios verdes;45157084;15;chacarita;elcano av 4563;-35∞ -22' 31,56'';-59∞ -38' 49,82'';6/2/2016;2/2/2017;12;100;salvatori sa parques y jardines;2016;licitacion publica;1816/sigaf/2014;30512700124;vecinos;10;46213850;;
edificio expadelai recuperacian y puesta en valor;Finalizada;arquitectura;ministerio de espacio publico e higiene urbana;fue un proyecto de restauracion y puesta en valor de un edificio histarico de la ciudad de buenos aires la idea fue recuperar las espacialidades originales de esta arquitectura sus materiales caractera≠≠sticos y la restauracion de sus fachadas y ornamentos cuenta con una plaza que se integra al edificio y le suma verde y calidad ambiental al espacio;33095135;1;san telmo;humberto 1 298;-35∞ -27' 50,73'';-59∞ -34' 7,38'';4/10/2017;2/10/2018;12;100;constructora solana sa;2017;licitacion publica;1816/sigaf/2014;30714318337;vecinos;10;46213850;;
esc primaria coman  14 siman bolivar obras generales;Finalizada;escuelas;ministerio de educacion;obra de trabajos de instalacion electrica e impermeabilizacion;7168850;10;villa real;tinogasta 5768;-35∞ -24' 15,96'';-59∞ -31' 32,16'';23/11/2016;30/11/2017;12;100;codyar srl;2016;licitacion publica;1816/sigaf/2014;30709320889;vecinos;10;46213850;;
barrio los piletones construccion de edificio na 27 manzana na 199  complejo habitacional los piletones;Finalizada;vivienda;corporacion buenos aires sur;la obra consiste en la construccion de un edificio de viviendas de planta baja y dos pisos en  cada planta hay 4 unidades funcionales de 4 ambientes cada una las 4 unidades ubicadas en planta baja se proyectaron para ser habitadas por usuarios con movilidad reducida;26268522;8;villa soldati;plumerillo 3975;-35∞ -25' 36,83'';-59∞ -38' 25,84'';26/6/2017;31/7/2018;12;100;bosquimano sa;2017;licitacion publica;01cbas2017;30711470022;vecinos;10;46213850;;
nuevo cesac n25 barrio 31;Finalizada;salud;ministerio de salud;cesac 25  550 m2 construccion nuevo cesac con 11 consultorios enfermera≠≠a vacunatorio farmacia depasito de leche area administrativa nacleos sanitarios publicos y para personal estar de profesionales salas de tablero sala transformadora salas para equipos gases madicos sala de maquinas sanitarias electromecanica y sala de termotanques jefatura;25490556;1;retiro;predio entre av pres arturo illia av de los inmigrantes y av del progreso;-35∞ -23' 42,65'';-59∞ -29' 15,25'';1/11/2018;15/12/2019;12;100;kir srl;2017;licitacion publica;1474/2017;30702232046;vecinos;10;46213850;;9176047/DGEV/2018
jardan de infantes integral n 10 de 1;Finalizada;escuelas;ministerio de desarrollo humano y habitat;inicial obra ejecutada por la secretaria de integracian social y urbana;21296166;1;retiro;parcela 1p  manzana 162  seccian 15 circunscripcian 19;-35∞ -23' 40,12'';-59∞ -38' 56,02'';22/12/2017;31/12/2018;12;100;kir srl;2017;licitacion publica;1453sigaf/17;30702232046;vecinos;10;2377056217;;
barrio 31 abordaje exterior 2 perette y avellaneda;Finalizada;vivienda;ministerio de desarrollo humano y habitat;se esta trabajando en la puesta en valor de las fachadas de las manzanas xx del sector de guemes y cristo obrero la empresa contratista tuvo por funcian recuperar fachadas adecuando alumbrado caaerias realizando revoque fino y grueso a las superficies;41076603;1;retiro;gendarmeria nacional av 680;-35∞ -21' 56,69'';-59∞ -31' 41,31'';1/7/2018;31/7/2019;12;100;dilthey y villarex;2018;licitacion publica;1816/sigaf/2014;"30711331847 
30712097996";43190;10;46213850;;
villa olimpica demoliciones en el parque de la ciudad;Finalizada;vivienda;secretaria de transporte y obras publicas;se realiza las demoliciones de las construcciones existentes en el predio del parque de la ciudad de buenos aires para la construccion y emplazamiento de la villa ola≠≠mpica en la comuna 8;6990315;8;villa soldati;escalada av 4218;-35∞ -25' 6,47'';-59∞ -38' 49,02'';20/12/2014;20/12/2015;12;100;ses sa;2014;licitacion publica;1582/2014;30647727545;vecinos;10;1,38E+11;;
villa olimpica infraestructura electrica;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;se realizaron obras de infraestructura electrica necesarias para las instalaciones en la villa ola≠≠mpica;54936733;8;villa riachuelo;fernandez de la cruz f gral av y suarez jose leon;-35∞ -25' 11,71'';-59∞ -37' 9,07'';3/1/2017;3/1/2018;12;100;urban baires sa;2016;licitacion publica;912sigaf/2016;30711290075;vecinos;10;1,92E+11;;
ejecucion rehabilitacion y mantenimiento de fachas medianeras y cubiertas del barrio 31 segunda etapa sector 1 entorno cancha 9 sector 2 perette y sector 3 calle avellaneda;Finalizada;vivienda;ministerio de desarrollo humano y habitat;ejecucion rehabilitacion y mantenimiento de fachas medianeras y cubiertas del barrio 31 segunda etapa;5896669339;1;retiro;carlos h perette 648;-35∞ -26' 45,10'';-59∞ -37' 26,57'';29/6/2018;29/10/2019;12;100;"villarex sa 
dilthey sa";2018;licitacion publica;397sigaf2019;"30712097996
30711331847
";210;10;46213850;;
ejecucion rehabilitacion y mantenimiento de fachas medianeras y cubiertas del barrio 31 tercera etapa sector 1 entorno calle y plaza los lapices sector 2 plaza ledesma;Finalizada;vivienda;ministerio de desarrollo humano y habitat;ejecucion rehabilitacion y mantenimiento de fachas medianeras y cubiertas del barrio 31 tercera etapa;158805663;1;retiro;sara beatriz fernandez 531;-35∞ -25' 0,38'';-59∞ -38' 36,92'';21/9/2018;9/1/2020;12;100;dilthey sa;2019;licitacion publica;1816/sigaf/2014;30711331847;180;10;46213850;;
ejecucion rehabilitacion y mantenimiento de fachadas medianeras y cubiertas del barrio 31 ciudad autonoma de buenos aires  etapa v;Finalizada;vivienda;ministerio de desarrollo humano y habitat;ejecucion rehabilitacion y mantenimiento de fachadas medianeras y cubiertas del barrio 31 ciudad autanoma de buenos aires 5;192042442;1;retiro;vicuaa 1480;-35∞ -26' 51,55'';-59∞ -37' 12,54'';18/6/2019;26/1/2022;12;100;kir construcciones srl;2018;licitacion publica;645sigaf2018;30702232046;110;10;46213850;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 etapa um 5 sector bajo autopista;Finalizada;vivienda;ministerio de desarrollo humano y habitat;Äúejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 ciudad autanoma de buenos aires  etapa um 5 (ba)Äù;81475981;1;retiro;alpaca 620;-35∞ -26' 58,22'';-59∞ -38' 36,92'';22/7/2021;9/8/2022;12;100;blue steel sa;2021;licitacion publica;33sigaf2021;30709422967;103;10;46213850;;2018-13414420-DGOINFU
centro cultural recoleta;Finalizada;arquitectura;ministerio de cultura;puesta en valor y adaptacian del edificio del recoleta para que sea capaz de recibir y alojar a todas las nuevas escenas culturales que estan vivas en la ciudad se construyeron espacios dedicados de forma permanente a los adolescentes al hiphop una sala de dibujo una zona de estudio un espacio de ocio y recreacian y una tienda de disenio argentino contemporaneo ademas de remodelar la terraza el cine el laboratorio musical el centro de investigacian la residencia para artistas la capilla y las salas de exhibician dedicadas a las artes visuales;12013835089;2;recoleta;juna≠n 1930;-35∞ -25' 3,65'';-59∞ -38' 48,89'';10/11/2018;20/12/2018;12;100;inapcon sa;2017;licitacion publica;lp1223sigaf2017;30677124411;800.000;10;46213850;;2018- 20835624-DGOINFU
redes cloacales  complejo habitacional los piletones agosto 2022julio 2023;Finalizada;hidraulica e infraestructura;corporacion buenos aires sur;servicio mensual de limpieza y reparacion de redes cloacales tareas de reparacion y mantenimiento de azoteas y fachadas iluminacion de escaleras y cerramientos perimetrales del complejo habitacional los piletones;14299788;8;villa soldati;juan pablo ii plumerillo av asturias;-35∞ -20' 15,82'';-59∞ -31' 35,54'';1/8/2022;31/7/2023;12;100;jorge canelles ltda;2022;convenio;56gcabacbas2022;30708832959;vecinos;10;46213850;;
mantenimiento mensual predio del estacionamiento ex parque de la ciudad;Finalizada;hidraulica e infraestructura;corporacion buenos aires sur;mantenimiento mensual del predio con las siguientes tareas desmalezado limpieza corte de casped barrido barrido profundo de solados cemento/asfaltico mantenimiento de red pluvial existente incluye tareas de desobstruccion manual o con equipo apropiado;2367800;8;villa lugano;escalada av y presidente roca av;-35∞ -20' 32,31'';-59∞ -33' 15,53'';10/9/2020;10/9/2021;12;100;marcelina vial sa;2020;contratacion menor;02cbas2020;30714545473;usuarios;10;46213850;;
memorial amia;Finalizada;espacio publico;subsecretaria de proyectos y obras;el proyecto memoria amia surge como consecuencia de la colaboracian entre la asociacian mutual israelita argentina y la secretara≠a de desarrollo urbano (sdu) planteandose un nuevo espacio para de conmemoracian a las va≠ctimas del atentado a la amia acaecido el 18 de julio de 1994;1188325226;13;belgrano;predio ubicado entre el p de la memoria y la estacion elevadora arroyo vega;-35∞ -25' 59,66'';-59∞ -30' 40,34'';29/7/2022;29/7/2023;12;100;salvatori sa parques y jardines;2022;licitacion publica;101790016lpu22;30512700124;vecinos;10;20228914594;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 etapa um 3 sector bajo autopista lote 1 de 5;Finalizada;vivienda;ministerio de desarrollo humano y habitat;Äúejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 ciudad autanoma de buenos aires  etapa um 3 (ba)Äù;235847220;1;retiro;alpaca 620;-35∞ -25' 41,39'';-59∞ -37' 57,51'';26/7/2021;9/8/2022;12;100;"villarex sa
demoliciones mitre srl";2021;licitacion publica;31sigaf2021;"30712097996
30657536551
";118;20;2,02E+11;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 etapa um 3 sector bajo autopista lote 2;Finalizada;vivienda;ministerio de desarrollo humano y habitat;Äúejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 ciudad autanoma de buenos aires  etapa um 3 (ba)Äù;115842592;1;retiro;alpaca 620;-35∞ -24' 4,34'';-59∞ -38' 11,22'';26/7/2021;9/8/2022;12;100;demoliciones mitre srl;2021;licitacion publica;31sigaf2021;30657536551;36;10;20215937046;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 etapa um 3 sector bajo autopista lote 1 de 4;Finalizada;vivienda;ministerio de desarrollo humano y habitat;Äúejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 ciudad autanoma de buenos aires  etapa um 3 (ba)Äù;235847220;1;retiro;alpaca 620;-35∞ -25' 52,64'';-59∞ -37' 32,59'';26/7/2021;9/8/2022;12;100;"villarex sa
demoliciones mitre srl";2021;licitacion publica;31sigaf2021;"30712097996
30657536551
";118;20;2,02E+11;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 etapa um 3 sector bajo autopista lote 2 de 4;Finalizada;vivienda;ministerio de desarrollo humano y habitat;Äúejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 ciudad autanoma de buenos aires  etapa um 3 (ba)Äù;115842592;1;retiro;alpaca 620;-35∞ -22' 2,76'';-59∞ -37' 7,39'';26/7/2021;9/8/2022;12;100;demoliciones mitre srl;2021;licitacion publica;31sigaf2021;30657536551;36;10;20215937046;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 etapa um 4 sector bajo autopista  lote 1;Finalizada;vivienda;ministerio de desarrollo humano y habitat;ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 ciudad autanoma de buenos aires  etapa um 4 (ba)Äù;238233196;1;retiro;alpaca 620;-35∞ -22' 10,72'';-59∞ -37' 40,17'';26/7/2021;9/8/2022;12;100;"villarex sa
demoliciones mitre srl";2021;licitacion publica;32sigaf2021;"30712097996
30657536551
";67;20;2,02E+11;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 etapa um 4 sector bajo autopista  lote 2;Finalizada;vivienda;ministerio de desarrollo humano y habitat;ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 ciudad autanoma de buenos aires  etapa um 4 (ba)Äù;110529535;1;retiro;alpaca 620;-35∞ -22' 14,81'';-59∞ -38' 27,02'';26/7/2021;9/8/2022;12;100;demoliciones mitre srl;2021;licitacion publica;32sigaf2021;30657536551;44;10;2,02E+11;;
construccion e instalacion de acueducto para alimentacion del barrio;Finalizada;hidraulica e infraestructura/ espacio publico;ministerio de desarrollo humano y habitat;"construccion e instalacion de acueducto para alimentacion del barrio 31 retiro ciudad
  autanoma de buenos aires";11852875662;1;retiro;calle 12 y raman castillo;-35∞ -22' 28,39'';-59∞ -39' 39,26'';6/11/2018;27/10/2019;12;100;tecma sa;2018;licitacion publica;"licitacion publica nacional n
118/sigaf/18";30623866528;40203;30;2,02E+11;;
ejecucion de infraestructura en manzana 28 con sus alrededores;Finalizada;hidraulica e infraestructura/ espacio publico;ministerio de desarrollo humano y habitat;ejecuciaìn de infraestructura en manzana 28 con sus alrededores;21627913674;1;retiro;calles mapuche chejolan y talampaya;-35∞ -25' 2,19'';-59∞ -38' 55,52'';17/10/2022;13/10/2023;12;100;altote sa;2022;licitacion publica;102090056lpu22;30707431896;40203;18;2,02E+11;;
generacion de aperturas de calles y nueva calle 14;Finalizada;hidraulica e infraestructura/ espacio publico;ministerio de desarrollo humano y habitat;aperturas de calles y nueva calle 14  barrio 31  carlos mugica;14853709651;1;retiro;acceso desde el barrio salda≠as y calle salguero;-59∞ -38' 29,43'';-35∞ -22' 2,67'';2/1/2020;30/4/2023;12;100;ute bosquimano  altote;2022;licitacion publica;504sigaf2019;30716685361;572;30;2,02E+11;;
palacio ceci;En Ejecucion;arquitectura;secretaria de transporte y obras publicas;la restauracion de la envolvente exterior (fachadas y cubiertas) de sus recintos interiores y la adecuacion tecnologica del conjunto;56497948852;11;villa devoto;av lincoln 4305;-35∞ -23' 32,95'';-59∞ -36' 28,18'';2/5/2023;2/5/2024;12;100;hit construcciones;2023;licitacion publica;1816/sigaf/2014;30709605158;los vecinos de villa devoto la escuela dr ayrolo todo aqual visitante del palacio ceci en general y tambian diferentes organismos del gobierno de la ciudad;10;2,02E+11;;
