nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;expediente-numero
Ecoparque: Monario írabe - Modificaciones De Recinto;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se repararon y adecuaron los recintos de Tapir y Mono Araña, a efectos de mejora y cumplimiento de estándares de bienestar animal y condiciones de seguridad para los ejemplares en cuestión.;$ 610.907,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;14/9/2017;5/12/2017;3;100;Punto H S.A;2017;Contratacion Menor;9510-2033-CME17;33714586799;vecinos;10;EX-2017-17165971- -MGEYA-UPEEI
Ecoparque: Intervenciones Correctivas De Urgencia En Recintos;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se repararon y adecuaron un extremo del recinto (45) para recibir a un oso hormiguero, trece agutí­ y una corzuela, a efectos de mejora de cumplimiento de actuales estándares de bienestar animal y condiciones de seguridad para los ejemplares en cuestión.;$ 3.123.200,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;1/5/2017;20/12/2017;7;100;CONSTRUCCIONES, INFRAESTRUCTURA Y SERVICIOS S.A.;2017;Licitación Pública;9510-1003-LPU17;30710393881;vecinos;10;EX-2017-15729123-UPEEI
Ecoparque: Impermeabilización De Techo Recintos (3100 M2);Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Tuvo lugar la contratación de un servicio de mantenimiento e impermeabilización de cubiertas planas correspondientes a los recintos.;$ 2.890.571,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;1/1/2017;14/11/2017;10;100;Lemme Obras Civiles S.R.L;2017;Licitación Pública;9510-0942-LPU17;30712255249;vecinos;10;EX-2017-14667106-MGEYA-UPEEI
Ecoparque: Elefante 2da Etapa;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;Se readecuó el recinto de elefantes- etapa 2.;$ 510.200,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;1/5/2017;31/10/2017;5;100;Punto H S.A;2017;Contratación Directa;9510-0941-CDI17;33714586799;vecinos;10;EX-2017-15172039- -MGEYA-UPEEI
Ecoparque: Nuevas Mangas De Manejo;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se repararon y adecuaron las mangas de manejo para varios recintos a efectos de mejorar el cumplimiento de actuales estándares de bienestar animal para los ejemplares en cuestión. Además, hubo readecuaciones en recintos internos para los ejemplares, confección de áreas de manejo y trabajos de colocación de malla en piso del recinto de exhibición.;$ 479.329,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;31/10/2017;22/12/2017;2;100;Rs Montajes Y Obras S.R.L;2017;Contratacion Menor;9510-2501-CME17;30688475062;vecinos;10;EE 2017-20505267-MGEYA-UPEEI.
Barrio Papa Francisco: Sector 2;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 1. 552 Viviendas, 24 Locales Comerciales Y Obras Exteriores. Tipologí­a Planta Baja + 3 Pisos. Avda. Escalada y Avda. Fernández De La Cruz, Barrio Villa Lugano, Comuna 8.;$ 201.540.000,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;1/11/2018;30/11/2019;16;100;Dycasa;2018;Licitación Pública;LP 16/16;33516294189;736;220;46213850
Barrio Papa Francisco: Sector 3;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 1. 552 Viviendas, 24 Locales Comerciales Y Obras Exteriores. Tipologí­a Planta Baja + 3 Pisos. Avda. Escalada y Avda. Fernández De La Cruz, Barrio Villa Lugano, Comuna 8.;$ 217.712.474,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;1/2/2017;30/6/2018;16;100;Green S.A;2016;Licitación Pública;LP 16/16;30638727079;736;220;46213850
Barrio Papa Francisco: Sector 1;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 1. 552 Viviendas, 24 Locales Comerciales Y Obras Exteriores. Tipologí­a Planta Baja + 3 Pisos. Avda. Escalada y Avda. Fernández De La Cruz, Barrio Villa Lugano, Comuna 8.;$ 210.593.221,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;1/2/2017;30/6/2018;16;100;Conorvial S.A;2016;Licitación Pública;LP 16/16;33504596309;736;220;46213850
Barrio Papa Francisco: Sector 4;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 2. 244 Viviendas, 12 Locales Comerciales Y Obras Exteriores. Tipologí­a Planta Baja + 3 Pisos. Avda. Escalada y Avda. Fernández De La Cruz, Barrio Villa Lugano, Comuna 8.;$ 228.882.850,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;1/6/2017;15/7/2019;16;100;Conorvial S.A;2016;Licitación Pública;LP 34/16;33504596309;736;260;46213850
Barrio Papa Francisco: Sector 5;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 2. 244 Viviendas, 12 Locales Comerciales Y Obras Exteriores. Tipologí­a Planta Baja + 3 Pisos. Avda. Escalada y Avda. Fernández De La Cruz, Barrio Villa Lugano, Comuna 8.;$ 83.509.547,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;1/6/2017;15/7/2019;16;100;Conorvial S.A;2016;Licitación Pública;140/17;33504596309;240;100;46213850
Subsede Parque Chacabuco;Finalizada;Arquitectura;Subsecretarí­a de Gestión Comunal;Se llevó a cabo la ampliación de la Subsede N° 7 con motivo de incorporar un nuevo servicio: registro civil. Se compuso de nuevos puestos de trabajo para cubrir áreas de cdr 0 años, nacimientos y cdr adultos, proyectando nuevos y mayores espacios de espera, servicios con un nuevo ingreso principal por Av. Emilio Mitre. Este proyecto se diseñó para cubrir el servicio de registro civil y así­ ampliar el funcionamiento de la comuna. Asimismo, se propuso afectar nuevamente el acceso por la Av. Emilio Mitre y utilizar el que corresponde a la calle De Las Ciencias como un ingreso secundario. A partir de este nuevo acceso, se logró ampliar la circulación principal agregando colores y nuevos equipamientos que permiten el fácil reconocimiento de cada servicio. La incorporación de locales individuales permitió un máximo aprovechamiento de los mismos utilizando espacios que actualmente se encuentran en desuso debido a sus dimensiones o ubicación.;$ 13.933.231,00;7;Parque Chacabuco;Mitre, Emilio 952;-34,63224904;-58,4411172;29/12/2016;26/10/2017;10;100;Grim Constructora S.A.;2016;Licitación Pública;1816/SIGAF/2014;30633268084;245000;10;46213850
Esquina Centenera  y Bonifacio: Nuevo espacio verde.;Finalizada;Espacio Público;Subsecretarí­a de Gestión Comunal;El objetivo se basó en generar espacios de descanso y esparcimiento para los padres y madres que realizan la transición con sus hijos en el jardí­n de infantes, como así­ también espacios de espera para los padres de la escuela í¢Â€ÂœOrganización de los Estados Americanosí¢Â€Â, brindando un nuevo espacio público urbanizado mediante la implementación de nuevo equipamiento. Se incorporó nuevo equipamiento tanto para adultos como para niños, se suministró de vegetación de arbustivas con plantación de nuevas especies arbóreas, la implementación de nuevas luminarias que generan un espacio que invitará a los vecinos a habitarlo. Se reacondiciono el estacionamiento y se limitaron los mismos con una hilera de bolardos para evitar que los autos se suban a la acera poniendo en peligro a los peatones. A su vez, se puso en condiciones el muro medianero que linda con el predio para la creación de un nuevo mural para la comuna. Por lo tanto, idea rectora del proyecto se basó en una serie de indicadores, ampliación del suelo absorbente, incorporación de nuevas luminarias, incorporación de nuevo mobiliario urbano, accesibilidad de todo el predio e incorporación de especies arbóreas nuevas.;$ 6.654.020,00;6;Caballito;Barco Centenera Del 701;-34,62776916;-58,44028882;20/1/2017;30/11/2017;10;100;Vap Construcciones S.R.L.;2016;Licitación Pública;1816/SIGAF/2014;30714522384;40000;10;46213850
Sede Comunal Nro. 3 - Relocalización;Finalizada;Arquitectura;Subsecretarí­a de Gestión Comunal;Se generó una fluidez espacial con la implementación de un mobiliario vanguardista con formas orgánicas brindando comodidad y funcionalidad. La nueva sede está ubicada en un sector del primer piso del centro comercial Spinetto apoyada sobre una franja lateral que facilitó la utilización de la luz natural que ingresaba por las ventanas. La sede tiene una imagen reconocible dentro del centro comercial, unificando conceptos estéticos e incorporando la identidad cultural de la comuna, esto se logró con áreas claras de transición entre los sectores del shopping. Con esta intervención se buscó generar espacios fluidos, circulaciones claras, fácil reconocimiento de las distintas áreas, maximizar la utilización de la luz natural, la utilización de un código de colores para las sectorizaciones e incorporación de un nuevo proyecto de luz cenital artificial e imágenes pertenecientes a la arquitectura de la comuna.;$ 21.921.802,00;3;Balvanera;Junin 521;-34,60292222;-58,39691302;5/12/2016;14/9/2018;21;100;Proyectos Y Decisiones S.R.L;2016;Licitación Pública;1816/SIGAF/2014;30707328505;195000;10;46213850
Sede Comunal 15 - 2° Etapa - Modificación Layout;Finalizada;Arquitectura;Subsecretarí­a de Gestión Comunal;Este proyecto se pensó para mejorar la distribución de los servicios y el funcionamiento de la comuna, además de generar un ambiente más ameno y cómodo tanto para los vecinos usuarios de la misma como para la gente que trabaja allí­. Se propuso, además, la mejora de las instalaciones termomecánicas, eléctricas, datos e incorporar un nuevo sistema de telefoní­a ip. La reorganización del espacio permitió un máximo aprovechamiento del mismo, utilizando zonas que se encontraban actualmente en desuso debido a sus dimensiones o ubicación.;$ 8.791.277,00;15;Chacarita;Cordoba Av. 5690;-34,58698556;-58,44125497;11/10/2016;29/7/2017;9;100;Graft Estudio S.R.L;2016;Licitación Pública;1816/SIGAF/2014;30708506903;190000;10;46213850
Ecoparque: Osos/Chimpance/Orangután - Modificaciones En Recinto;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se repararon y readecuaron los recintos de osos y grandes simios.;$ 1.645.600,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;8/8/2017;9/11/2017;3;100;Conibra S.R.L;2017;Decreto N° 433/16;-;30707433910;vecinos;10;EX-2017-13126839-MGEYA-UPEEI
Ecoparque: Cuarentena;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron trabajos de reparación y readecuación en el sector de cuarentena, emplazado adyacente al Hospital Veterinario del Ecoparque Interactivo.;$ 2.434.966,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;19/9/2017;4/1/2018;4;100;Conibra S.R.L;2017;Licitación Privada;10038-SIGAF/2017;30707433910;vecinos;10;EX-2017-12119786-MGEYA-UPEEI
Ecoparque: Necropsia;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;La contratación que se llevó a cabo tuvo por objeto la realización de trabajos de mantenimiento (reparación y readecuación) que se hicieron en el edificio de necropsia.;$ 916.817,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;21/7/2017;15/9/2017;2;100;DEVELOPMENT COSEC SRL;2017;Contratacion Menor;9510-1123-CME17;30709861855;vecinos;10;EX-2017-10835560-MGEYA-UPEEI
Barrio Papa Francisco: Infraestructura 1;Finalizada;Hidráulica e Infraestructura;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 3. Infraestructura (Para La Etapa 1 Y Etapa 2). Avda. Escalada y Avda. Fernández De La Cruz, Barrio Villa Lugano, Comuna 8.;$ 41.731.397,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;24/11/2017;31/7/2018;8;100;Conorvial S.A;2017;Licitación Pública;LP 55/16;33504596309;2706,4;40;46213850
Barrio Papa Francisco: Infraestructura 2;Finalizada;Hidráulica e Infraestructura;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 4. Infraestructura. Avda. Escalada y Avda. Fernández De La Cruz, Barrio Villa Lugano, Comuna 8;$ 143.231.737,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;24/11/2017;30/11/2018;12;100;Conorvial S.A;2017;Licitación Pública;LP 03/17;33504596309;2958;60;46213850
Barrio Papa Francisco: Etapa 5;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Papa Francisco, Etapa 5. 420 Viviendas, 28 Locales Comerciales, Obras Exteriores Y Sector Patio De Juegos. Tipologí­a Planta Baja + 4 Pisos. Avda. Escalada y Avda. Fernández De La Cruz, Barrio Lugano, Comuna;$ 285.332.963,00;8;Villa Lugano;Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.;-34,673147;-58,458364;10/12/2017;31/5/2019;17;100;Conorvial S.A;2017;Licitación Pública;LP 06/17;33504596309;1680;250;46213850
Barrio Rodrigo Bueno: Vivienda;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Rodrigo Bueno Etapa 2. 612 Viviendas, 53 Locales Comerciales Y Obras Exteriores. Tipologí­a Pb + 1 Piso / Pb + 2 Pisos / Pb + 3 Pisos. Av. España, Reserva Ecológica Costanera Sur y Macizo Rodrigo Bueno. Barrio Puerto Madero. Comuna 1;$ 314.660.453,00;4;La Boca;España Av. 1800;-34,61865809;-58,35582416;1/3/2018;30/5/2019;14;100;Criba S.A.;2017;Licitación Pública;35--IVC-2017;30505454436;2252;102;15798534--IVC-2017
Nuevo Cesac 14;Finalizada;Salud;Ministerio de Salud;"La obra comprende la construcción de dos edificios en los que se prevé la posibilidad de una ampliación futura de un nivel más en su totalidad. El área total de la intervención comprende 2585 m2 cubiertos, 145 m2 semicubiertos y 960 m2 descubiertos. La primera etapa comprende la construcción del nuevo prototipo de centro de salud más la ejecución de locales de infraestructura que albergan sala de tableros, depósitos, sala de bombas, gases médicos; los que son comunes a los dos edificios y están dimensionados para los requerimientos de infraestructura de ambos más el sector destinado a cámara transformadora y sala de corte (28,40 m2) y los espacios exteriores definido en el plano de etapas (132,87 m2). En la segunda etapa, una vez terminada la obra, las funciones del CeSAC N° 14 se trasladarán al nuevo edificio y se procederá a la demolición del antiguo centro de salud. La tercera etapa comprende la construcción del nuevo centro médico de especialidades ambulatorias (CEMAR).";$ 105.154.463,00;9;Parque Avellaneda;Casco, Horacio, Dr. 4446;-34,66006977;-58,47421594;16/6/2017;30/1/2020;37;100;Mejoramiento Hospitalario S.A.;2014;Licitación Pública;1305/2016;30707962654;vecinos;45;46213850
Hospital Elizalde - Remodelación Servicio Reconstitución De Citostáticos;Finalizada;Salud;Ministerio de Salud;Se realizaron trabajos de remodelación en el Servicio de Reconstitución de Citostáticos.;$ 7.817.140,00;4;Barracas;Montes De Oca, Manuel Av. 40;-34,62890617;-58,37761195;5/9/2017;2/3/2018;6;100;Grupo Viarsa S.A;2016;Licitación Privada;mar-16;30714207667;vecinos;6;46213850
Hospital Fernández - Readecuación Fí­sica Angiógrafo;Finalizada;Salud;Ministerio de Salud;Esta obra consistió en satisfacer la necesidad de adecuar fí­sicamente el servicio de hemodinamia debido a la instalación de un nuevo angiógrafo, respondiendo a un programa médico elevado por la dirección del Hospital, adecuando fí­sicamente el servicio. La superficie que se intervino fue de 94 m2, y está distribuida en los siguientes locales: sala de examen, sala de comando, sala técnica, sala de recuperación, sanitario para pacientes, office sucio, office limpio, sala de informes, sanitario para médicos y depósito. Se anexó una superficie de 5 m2 por fuera del servicio de hemodinamia, destinada al sector UPS que funciona para el respectivo servicio.;$ 8.660.000,00;14;Palermo;Cerviño Av. 3356;-34,581139;-58,406896;11/1/2016;27/7/2017;18;100;Philips Argentina Sociedad Anónima;2016;Licitación Pública;122--SSASS-2016;30500527230;vecinos;17;20621168--MGEYA-2016
Hospital Cecilia Grierson - Remodelación y ampliación (Etapa N° 2- 3° Módulo);Finalizada;Salud;Ministerio de Salud;Esta obra consiste en dos estructuras circulatorias bien diferenciadas: una para el público y otra para personal técnico. Se incorporará el centro quirúrgico con habitaciones de terapia intensiva y habitaciones de internación corta estancia. Se construirán edificios anexos como áreas de apoyo para mantenimiento, tanques y salas de gases médicos. Esta intervención abarca una totalidad de 5756 m2 cubiertos y 11095 m2 descubiertos.;$ 296.735.562,00;8;Villa Lugano;Fernandez De La Cruz, F., Gral. Av. 4402;-34,67375284;-58,4590247;1/8/2017;31/5/2020;33;88;Henisa Sudamericana S.A.;2017;Licitación Pública;212--SSASS-2017;33668217759;vecinos;90;26323352--MGEYA-2016
Hospital Penna - Instalación de sistema de climatización para el servicio de Unidad de Terapia Intensiva;Finalizada;Salud;Ministerio de Salud;La obra consistió en la puesta en norma de la instalación de sistema de climatización para el servicio de unidad de terapia intensiva.;$ 8.110.000,00;4;Parque Patricios;Chutro, Pedro, Prof., Dr. 3380;-34,64305175;-58,41141236;15/8/2016;30/8/2016;0;100;Philips Argentina Sociedad Anónima;2016;Licitación Pública;122--SSASS-2016;30500527230;vecinos;17;46213850
Hospital Santojanni - Ampliación Instalaciones Centrales De Oxigeno, Aire Comprimido Vací­o (Edificio 3, En 1°, 2°, 3° Y 4° Piso);Finalizada;Salud;Ministerio de Salud;Se realizó la provisión e instalación de materiales y equipos para la ampliación de las instalaciones de oxí­geno, aire comprimido y aspiración central correspondientes al edificio 3 en los pisos 1°, 2°, 3° y 4° del Hospital.;$ 17.406.748,00;9;Liniers;Pilar 950;-34,64935338;-58,51580056;21/6/2016;31/10/2018;28;100;Ecohm S.R.L.;2014;Licitación Pública;82/2014;30712548114;vecinos;9;46213850
Hospital Gutiérrez - Trabajos De Remodelación Del Sector De Guardia, Hall Central Y De Baños Públicos;Finalizada;Salud;Ministerio de Salud;La obra de refacción de guardia en el Hospital Gutiérrez consistió en la puesta en valor de las zonas de circulación de las guardias (públicas y consultorios), las salas de espera, los nuevos sanitarios para mejorar la experiencia de los vecinos y visitantes que utilizan las áreas de guardia. En la sala de espera se retiró la cartelerí­a y señalética en paredes que comprenden el sector, se pintó la circulación de los consultorios en paredes, cielorraso y la puesta a cero los sanitarios públicos existentes.;$ 2.391.883,00;2;Recoleta;Gallo 1330;-34,59452279;-58,41073191;17/7/2017;13/11/2017;4;100;Indaltec S.A.;2014;Anexo contratación mantenimiento;67/2014;30650988600;vecinos;10;46213850
Hospital Gutiérrez - Provisión Y Colocación De Cámara De Frio De Ia Morgue;Finalizada;Salud;Ministerio de Salud;La obra consistió en el desmonte de la cámara existente y se realizó una nueva red de emergencia de ultrafreezer.;$ 1.800.000,00;2;Recoleta;Gallo 1330;-34,59452279;-58,41073191;17/4/2017;1/8/2017;4;100;Mejores Hospitales S.A;2014;Adicional de Mantenimiento;67/2014;30647354072;vecinos;3;46213850
Hospital Marí­a Ferrer - Instalación De Sistema De Climatización Frí­o/Calor Con Filtrado Especial - 2° Parte;Finalizada;Salud;Ministerio de Salud;La obra consistió en la puesta en valor de la totalidad edificada de la terapia intermedia, tareas de obra civil, termomecánica, electricidad y sanitarias. ;$ 8.250.000,00;4;Barracas;Finochietto Enrique Dr. 849;-34,63024168;-58,37558287;29/12/2016;29/12/2017;12;100;Mejores Hospitales S.A;2014;Decreto N° 433/16;4767/2016;30647354072;vecinos;4;46213850
Hospital Udaondo - Trabajos Para Ampliación Y Modificación De Tableros Para Alimentar Pabellones C Y D De Los Transformadores Actuales De Pabellón A Y B;Finalizada;Salud;Ministerio de Salud;La obra consistió en trabajos para la ampliación y modificación de tableros para alimentar Pabellones C y D de los transformadores actuales de Pabellón A y B.;$ 6.263.000,00;4;Parque Patricios;Caseros Av. 2061;-34,63434588;-58,39136092;10/4/2017;5/12/2017;8;100;Indaltec S.A.;2014;Adicional de Mantenimiento;86/2014;30650988600;vecinos;12;46213850
Hospital Fernández - Infraestructura Y Seguridad - 1° Etapa;Finalizada;Salud;Ministerio de Salud;La primer etapa de la obra de seguridad consistió en la colocación de puertas internas de seguridad en el sector de guardia y de la colocación de dos puertas dobles en el sector de la UTI.;$ 6.842.615,00;14;Palermo;Cerviño Av. 3356;-34,581139;-58,406896;23/9/2016;31/3/2017;6;100;Mig S.A.;2014;Licitación Pública;66-SIGAF-MSGC-2014;30561265255;vecinos;7;2888256-2888256-MGEYA-2013
Recoleta Entrena;Finalizada;Espacio Público;Subsecretarí­a de Gestión Comunal;El proyecto consistió en la puesta en valor y aprovechamiento del espacio urbano para la recreación deportiva. El circuito se conformó por 2 áreas: 1-atletismo: compuesto por un circuito de running de 1.3kms cuya pista se realizó con un solado deportivo especial que permite el uso de alto tránsito, rendimiento, y con amortiguación permitiendo evitar lesiones en los corredores, también cuenta con un área para los usuarios donde pueden realizar ejercicios varios, elongación, etc. y 2- tecnologí­a fitness: el sendero de running está equipado con diversos sensores que miden el desempeño atlético de los usuarios y un área con un tótem interactivo donde pueden acceder a la información personalizada de cada individuo como también a tutoriales instructivos de ejercicios.;$ 20.640.490,00;2;Recoleta;Del Libertador Av. Y Austria;-34,58307595;-58,39731741;24/11/2017;30/8/2018;9;100;Miavasa S.A;2017;Licitación Pública;1816/SIGAF/2014;30677303863;12000;10;46213850
Ensanche Constitución;Finalizada;Transporte;Subsecretarí­a de Gestión Comunal;El proyecto se basó en una serie de indicadores: ampliación del suelo absorbente que buscó generar un espacio de descanso y esparcimiento para los vecinos dotándolo de nuevas especies arbustivas, la incorporación de nuevas luminarias que invita a los vecinos a habitarlo brindando más seguridad por las noches, la incorporación de nuevo mobiliario urbano y la incorporación de especies arbóreas y arbustivas nuevas.;$ 1.741.124,00;1;Constitución;Lima Y Constitucion;-34,62464173;-58,38089611;7/7/2017;21/11/2017;4;100;Kiva Construcciones S.A;2017;Licitación Pública;1816/SIGAF/2014;30714444936;15000;10;46213850
Plazoletas Bruix;Finalizada;Espacio Público;Subsecretarí­a de Gestión Comunal;El sector que se intervino son los islotes que se generan al cruzar en diagonal la Av. Bruix con las calles Av. Juan B. Alberdi, Escalada, Homero, White y Damaso Larrañaga. El objetivo del proyecto se basó en ampliar el suelo absorbente de los islotes generando canteros centrales, la realización de aceras perimetrales que permiten el paso peatonal, la implementación de luminarias, la incorporación de vados peatonales que convirtió a dichos espacios en accesibles 100%, la incorporación de bolardos metálicos ubicados estratégicamente en el perí­metro para evitar el acceso vehicular por encima de los islotes e incorporación de nuevas especies vegetales y riego de dichos islotes. ;$ 3.136.293,00;9;Parque Avellaneda;Bruix Av. Y Alberdi, Juan Bautista Av.;-34,64487337;-58,49525213;1/9/2017;30/9/2017;0;100;Estilo Quarzo S.R.L;2016;Licitación Pública;1816/SIGAF/2014;30711780846;120000;10;46213850
Barrio Fraga: Vivienda;Finalizada;Vivienda;Instituto de la Vivienda;Barrio Fraga, Etapa 2. 678 Viviendas, 70 Locales Comerciales y Obras Exteriores. Tipologí­a Pb + 2 / 4 / 8 Pisos. Prolong. Av. Triunvirato, Av. Elcano, Guevara, Prolong. Céspedes, Prolong. Teodoro Garcí­a y Ví­as Ffcc Urquiza. Barrio Chacarita, Comuna 15.;$ 314.876.218,00;15;Chacarita;Fraga Y Garcia, Teodoro;-34,58384621;-58,45458627;1/3/2018;31/12/2019;16;100;Conorvial S.A - CRIBA S.A. - PECAM S.A.;2017;Licitación Pública;37--IVC-2017;33504596309;2688;115;16116111--IVC-2017
Barrio Rivera Iguazú: Manzana 2 - Construcción De 64 Viviendas;Finalizada;Vivienda;Instituto de la Vivienda;Iguazú N° 1835, Barrio Ribera Iguazú. 192 Viviendas, obras exteriores y pavimentos. Barrio Nueva Pompeya. Convenio Cuenca Riachuelo Matanza;$ 60.912.546,00;4;Nueva Pompeya;Iguazu 1835;-34,6582008;-58,40183877;12/12/2016;31/3/2019;27;100;Vivian Hnos S.A.C.I.F.I.;2014;Licitación Pública;LP 29/14;30504418649;256;120;46213850
Ecoparque: Equipamiento De Quirófano;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se suministró equipo veterinario;$ 4.669.930,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;20/11/2016;7/10/2017;11;100;Gemed S.R.L-Adox S.A.-Bahurac S.A.-Geodigital Group S.R.L-Guido Matias Altamirano-Instruequipos S.A-Kifer Medical S.A-Mdv Srl-Proveeduria Medica Srl-Quiro-Med Sacif,;2017;Licitación Pública;9510-0271-LPU17;"30-60976921-8; 20-28247330-6; 33-56829370-9; 30-56300666-4; 30-68023513-5; 30-70793256-9; 30-71126606-9; 30-61181661-4; 30-64840608-4; 30-70973734-8";vecinos;10;EX-2017-05166372-UPEEI
Ecoparque: Tapir - Modificaciones En Recinto;Finalizada;Arquitectura;Secretarí­a de Transporte y Obras Públicas;Se realizaron modificaciones en el recinto del tapir y dicho proceso se unificó con monario árabe.;$ 610.907,00;14;Palermo;Republica De La India 3000;-34,57831945;-58,4148211;27/6/2017;5/12/2017;6;100;Punto H S.A;2024;Contratacion Menor;9510-2033-CME17;33714586799;vecinos;10;EX-2017-17165971-MGEYA-UPEEI
Patios De Juegos - Pigue;Finalizada;Espacio Público;Subsecretarí­a de Gestión Comunal;El objetivo se basó en la puesta en valor del patio de juegos llevando a cabo el cambio de pisos por antigolpes y se colocaron juegos nuevos bajo normas de seguridad.;$ 1.408.272,00;14;Palermo;Olleros Av. Y Soldado De La Independencia;-34,56529006;-58,43829119;19/6/2017;8/11/2017;5;100;Vap Construcciones S.R.L.;2017;Licitación Pública;1816/SIGAF/2014;30714522384;5000;10;46213850
Patios De Juegos -Niceto Vega;Finalizada;Espacio Público;Subsecretarí­a de Gestión Comunal;El objetivo se basó en la puesta en valor del patio de juegos llevando a cabo el cambio de pisos por antigolpes y se colocaron juegos nuevos bajos normas de seguridad.;$ 1.611.936,00;14;Palermo;Vega, Niceto, Cnel. 5223;-34,58935933;-58,43547316;16/6/2017;8/11/2017;5;100;Vap Construcciones S.R.L.;2017;Licitación Pública;1816/SIGAF/2014;30714522384;5000;10;46213850
Patio De Juegos - Willians Morris;Finalizada;Espacio Público;Subsecretarí­a de Gestión Comunal;El proyecto contempló la puesta en valor de la plazoleta William Morris ubicada en las calles Uriarte, Darregueyra y Guatemala. El patio de juego presentaba solado de arena y el equipamiento de la plaza se encontraba en estado de deterioro, es por esto que la propuesta contempló la puesta en norma del patio de juegos colocando solado antigolpe y juegos inclusivos. Además, se reparó equipamiento existente y se incorporó superficie absorbente con nuevos canteros y plantación de vegetación.;$ 755.686,00;14;Palermo;Guatemala Y Uriarte;-34,58418715;-58,42715533;16/6/2017;8/11/2017;5;100;Vap Construcciones S.R.L.;2017;Licitación Pública;1816/SIGAF/2014;30714522384;5000;10;46213850
Barrio Rivera Iguazú: Manzana 5 - Construcción De 64 Viviendas;Finalizada;Vivienda;Instituto de la Vivienda;Iguazú N° 1835, Barrio Ribera Iguazú. 192 Viviendas, obras exteriores y pavimentos. Barrio Nueva Pompeya. Convenio Cuenca Riachuelo Matanza;$ 60.821.903,00;4;Nueva Pompeya;Iguazu 1835;-34,6582008;-58,40183877;1/1/2017;31/3/2019;26;100;Bricons S.A.I.C.F.I.;2014;Licitación Pública;LP 29/14;30541068151;256;120;46213850
Hospital Ramos Mejí­a - Remodelación Cocina Y Vestuarios;Finalizada;Salud;Ministerio de Salud;"La obra comprendió la ejecución de los trabajos necesarios para dotar al hospital de un sector de almacenaje, preparación y cocción de alimentos para los pacientes internados, remodelación del sector de alimentación, oficinas varias, vestuarios para el personal afectado al servicio. Además, cuenta con cámaras frigorí­ficas, sector de preparado, almacenaje, transporte vertical para los preparados y cocción; estos sectores cuentan con instalaciones acordes al uso: sanitarias, electricidad y aire acondicionado, salidas de emergencia según normativas actuales.";$ 16.089.020,00;3;Balvanera;Urquiza, Gral. 609;-34,61762051;-58,40940032;26/4/2017;21/1/2018;9;100;SES SA;2014;Adicional de Mantenimiento;78/2014;30647727545;vecinos;22;46213850
